processador-2  | 2026-09-25T22:50:05.931758793Z 2026-09-25 22:50:05,930 WARNING [processador] ALERTA maquina=empacotamento-b5c981-m2 setor=empacotamento temperatura_c=88.25 > limite 85.00 (partição=1 offset=210)
processador-2  | 2026-09-25T22:50:06.062746432Z 2026-09-25 22:50:06,062 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m3 setor=refrigeracao energia_kw=54.37 > limite 45.00 (partição=3 offset=282)
processador-2  | 2026-09-25T22:50:08.066438501Z 2026-09-25 22:50:08,065 INFO [processador] ESTATISTICA processador=03ebfdfe1e89 partições=[1, 3] processadas=67 (6.6 msg/s) alertas=2 duplicadas=0 por_particao={1: 29, 3: 38}
processador-2  | 2026-09-25T22:50:12.012619955Z 2026-09-25 22:50:12,012 WARNING [processador] ALERTA maquina=empacotamento-b5c981-m2 setor=empacotamento energia_kw=45.77 > limite 45.00 (partição=1 offset=220)
processador-2  | 2026-09-25T22:50:13.085578338Z 2026-09-25 22:50:13,085 WARNING [processador] ALERTA maquina=empacotamento-b5c981-m3 setor=empacotamento energia_kw=45.90 > limite 45.00 (partição=3 offset=306)
processador-2  | 2026-09-25T22:50:13.099163564Z 2026-09-25 22:50:13,098 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m6 setor=refrigeracao temperatura_c=99.16 > limite 85.00 (partição=1 offset=231)
processador-2  | 2026-09-25T22:50:18.070307394Z 2026-09-25 22:50:18,070 INFO [processador] ESTATISTICA processador=03ebfdfe1e89 partições=[1, 3] processadas=76 (7.6 msg/s) alertas=3 duplicadas=0 por_particao={1: 32, 3: 44}
processador-2  | 2026-09-25T22:50:20.927387292Z 2026-09-25 22:50:20,925 WARNING [processador] ALERTA maquina=empacotamento-b5c981-m2 setor=empacotamento vibracao_mm_s=10.49 > limite 7.10 (partição=1 offset=255)
processador-2  | 2026-09-25T22:50:22.065458126Z 2026-09-25 22:50:22,064 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m4 setor=refrigeracao temperatura_c=105.82 > limite 85.00 (partição=1 offset=259)
processador-2  | 2026-09-25T22:50:28.930055052Z 2026-09-25 22:50:28,928 INFO [processador] ESTATISTICA processador=03ebfdfe1e89 partições=[1, 3] processadas=72 (6.6 msg/s) alertas=2 duplicadas=0 por_particao={1: 32, 3: 40}
processador-2  | 2026-09-25T22:50:31.068915645Z 2026-09-25 22:50:31,068 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m4 setor=refrigeracao energia_kw=59.06 > limite 45.00 (partição=1 offset=286)
processador-2  | 2026-09-25T22:50:34.066453221Z 2026-09-25 22:50:34,066 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m7 setor=refrigeracao temperatura_c=110.75 > limite 85.00 (partição=3 offset=395)
processador-2  | 2026-09-25T22:50:35.065769524Z 2026-09-25 22:50:35,065 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m3 setor=refrigeracao temperatura_c=106.36 > limite 85.00 (partição=3 offset=398)
processador-2  | 2026-09-25T22:50:39.065065208Z 2026-09-25 22:50:39,064 INFO [processador] ESTATISTICA processador=03ebfdfe1e89 partições=[1, 3] processadas=73 (7.2 msg/s) alertas=3 duplicadas=0 por_particao={1: 31, 3: 42}
processador-2  | 2026-09-25T22:50:40.065995819Z 2026-09-25 22:50:40,065 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m4 setor=refrigeracao temperatura_c=97.59 > limite 85.00 (partição=1 offset=313)
processador-2  | 2026-09-25T22:50:49.066776564Z 2026-09-25 22:50:49,066 INFO [processador] ESTATISTICA processador=03ebfdfe1e89 partições=[1, 3] processadas=70 (7.0 msg/s) alertas=1 duplicadas=0 por_particao={1: 30, 3: 40}
processador-2  | 2026-09-25T22:50:52.932073642Z 2026-09-25 22:50:52,931 WARNING [processador] ALERTA maquina=empacotamento-b5c981-m3 setor=empacotamento temperatura_c=97.28 > limite 85.00 (partição=3 offset=468)
processador-2  | 2026-09-25T22:50:56.071787547Z 2026-09-25 22:50:56,071 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m3 setor=refrigeracao energia_kw=52.11 > limite 45.00 (partição=3 offset=482)
processador-2  | 2026-09-25T22:50:58.074775742Z 2026-09-25 22:50:58,074 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m3 setor=refrigeracao energia_kw=56.59 > limite 45.00 (partição=3 offset=490)
processador-2  | 2026-09-25T22:50:59.080370282Z 2026-09-25 22:50:59,080 INFO [processador] ESTATISTICA processador=03ebfdfe1e89 partições=[1, 3] processadas=70 (7.0 msg/s) alertas=3 duplicadas=0 por_particao={1: 29, 3: 41}
processador-2  | 2026-09-25T22:51:07.071525824Z 2026-09-25 22:51:07,071 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m7 setor=refrigeracao temperatura_c=100.35 > limite 85.00 (partição=3 offset=527)
processador-2  | 2026-09-25T22:51:09.932636788Z 2026-09-25 22:51:09,930 INFO [processador] ESTATISTICA processador=03ebfdfe1e89 partições=[1, 3] processadas=74 (6.8 msg/s) alertas=1 duplicadas=0 por_particao={1: 33, 3: 41}
processador-2  | 2026-09-25T22:51:11.068525425Z 2026-09-25 22:51:11,068 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m6 setor=refrigeracao temperatura_c=105.15 > limite 85.00 (partição=1 offset=407)
processador-2  | 2026-09-25T22:51:17.931155035Z 2026-09-25 22:51:17,930 WARNING [processador] ALERTA maquina=empacotamento-b5c981-m3 setor=empacotamento vibracao_mm_s=10.70 > limite 7.10 (partição=3 offset=568)
processador-2  | 2026-09-25T22:51:18.929315734Z 2026-09-25 22:51:18,928 WARNING [processador] ALERTA maquina=empacotamento-b5c981-m2 setor=empacotamento vibracao_mm_s=10.42 > limite 7.10 (partição=1 offset=429)
processador-2  | 2026-09-25T22:51:20.930422049Z 2026-09-25 22:51:20,930 INFO [processador] ESTATISTICA processador=03ebfdfe1e89 partições=[1, 3] processadas=65 (5.9 msg/s) alertas=3 duplicadas=0 por_particao={1: 27, 3: 38}
processador-2  | 2026-09-25T22:51:26.295207091Z 2026-09-25 22:51:26,294 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m6 setor=refrigeracao energia_kw=54.44 > limite 45.00 (partição=1 offset=445)
processador-2  | 2026-09-25T22:51:30.931180289Z 2026-09-25 22:51:30,930 INFO [processador] ESTATISTICA processador=03ebfdfe1e89 partições=[1, 3] processadas=83 (8.3 msg/s) alertas=1 duplicadas=0 por_particao={1: 36, 3: 47}
processador-2  | 2026-09-25T22:51:31.069565444Z 2026-09-25 22:51:31,069 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m7 setor=refrigeracao temperatura_c=109.71 > limite 85.00 (partição=3 offset=623)
processador-2  | 2026-09-25T22:51:34.075208016Z 2026-09-25 22:51:34,074 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m4 setor=refrigeracao vibracao_mm_s=12.53 > limite 7.10 (partição=1 offset=475)
processador-2  | 2026-09-25T22:51:40.932337261Z 2026-09-25 22:51:40,932 INFO [processador] ESTATISTICA processador=03ebfdfe1e89 partições=[1, 3] processadas=71 (7.1 msg/s) alertas=2 duplicadas=0 por_particao={1: 30, 3: 41}
processador-2  | 2026-09-25T22:51:45.069274474Z 2026-09-25 22:51:45,068 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m3 setor=refrigeracao vibracao_mm_s=9.74 > limite 7.10 (partição=3 offset=678)
processador-2  | 2026-09-25T22:51:50.932777401Z 2026-09-25 22:51:50,932 INFO [processador] ESTATISTICA processador=03ebfdfe1e89 partições=[1, 3] processadas=70 (7.0 msg/s) alertas=1 duplicadas=0 por_particao={1: 30, 3: 40}
processador-2  | 2026-09-25T22:51:53.069709782Z 2026-09-25 22:51:53,069 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m7 setor=refrigeracao vibracao_mm_s=10.39 > limite 7.10 (partição=3 offset=711)
processador-2  | 2026-09-25T22:51:57.073053944Z 2026-09-25 22:51:57,071 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m7 setor=refrigeracao temperatura_c=109.30 > limite 85.00 (partição=3 offset=727)
processador-2  | 2026-09-25T22:52:01.070038954Z 2026-09-25 22:52:01,069 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m3 setor=refrigeracao vibracao_mm_s=9.37 > limite 7.10 (partição=3 offset=742)
processador-2  | 2026-09-25T22:52:01.070083737Z 2026-09-25 22:52:01,069 INFO [processador] ESTATISTICA processador=03ebfdfe1e89 partições=[1, 3] processadas=71 (7.0 msg/s) alertas=3 duplicadas=0 por_particao={1: 30, 3: 41}
processador-2  | 2026-09-25T22:52:02.936618300Z 2026-09-25 22:52:02,936 WARNING [processador] ALERTA maquina=empacotamento-b5c981-m6 setor=empacotamento temperatura_c=91.06 > limite 85.00 (partição=3 offset=749)
processador-2  | 2026-09-25T22:52:11.080638725Z 2026-09-25 22:52:11,080 INFO [processador] ESTATISTICA processador=03ebfdfe1e89 partições=[1, 3] processadas=70 (7.0 msg/s) alertas=1 duplicadas=0 por_particao={1: 30, 3: 40}
processador-2  | 2026-09-25T22:52:16.084747956Z 2026-09-25 22:52:16,084 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m4 setor=refrigeracao energia_kw=58.25 > limite 45.00 (partição=1 offset=601)
processador-2  | 2026-09-25T22:52:18.084478132Z 2026-09-25 22:52:18,084 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m6 setor=refrigeracao vibracao_mm_s=11.91 > limite 7.10 (partição=1 offset=608)
processador-2  | 2026-09-25T22:52:19.086372683Z 2026-09-25 22:52:19,086 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m6 setor=refrigeracao temperatura_c=106.11 > limite 85.00 (partição=1 offset=611)
processador-2  | 2026-09-25T22:52:21.083455278Z 2026-09-25 22:52:21,083 INFO [processador] ESTATISTICA processador=03ebfdfe1e89 partições=[1, 3] processadas=70 (7.0 msg/s) alertas=3 duplicadas=0 por_particao={1: 31, 3: 39}
processador-2  | 2026-09-25T22:52:22.083476065Z 2026-09-25 22:52:22,082 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m7 setor=refrigeracao vibracao_mm_s=12.09 > limite 7.10 (partição=3 offset=827)
processador-2  | 2026-09-25T22:52:23.086702419Z 2026-09-25 22:52:23,086 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m7 setor=refrigeracao temperatura_c=107.68 > limite 85.00 (partição=3 offset=831)
processador-2  | 2026-09-25T22:52:26.085146237Z 2026-09-25 22:52:26,084 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m4 setor=refrigeracao energia_kw=59.69 > limite 45.00 (partição=1 offset=631)
processador-2  | 2026-09-25T22:52:31.087249833Z 2026-09-25 22:52:31,086 WARNING [processador] ALERTA maquina=refrigeracao-4594d7-m4 setor=refrigeracao temperatura_c=108.11 > limite 85.00 (partição=1 offset=646)
processador-2  | 2026-09-25T22:52:31.087274048Z 2026-09-25 22:52:31,087 INFO [processador] ESTATISTICA processador=03ebfdfe1e89 partições=[1, 3] processadas=72 (7.2 msg/s) alertas=4 duplicadas=0 por_particao={1: 30, 3: 42}
processador-2  | 2026-09-25T22:52:41.935039964Z 2026-09-25 22:52:41,934 INFO [processador] ESTATISTICA processador=03ebfdfe1e89 partições=[1, 3] processadas=72 (6.6 msg/s) alertas=0 duplicadas=0 por_particao={1: 32, 3: 40}
processador-2  | 2026-09-25T22:52:44.730063659Z 2026-09-25 22:52:44,729 INFO [processador] REBALANCO processador=03ebfdfe1e89 partições atribuidas: [2] -> responsável por [1, 2, 3]
processador-2  | 2026-09-25T22:52:45.754018122Z 2026-09-25 22:52:45,753 INFO [processador] leitura já gravada ignorada (partição=2 offset=1290)
processador-2  | 2026-09-25T22:52:45.754042747Z 2026-09-25 22:52:45,753 INFO [processador] leitura já gravada ignorada (partição=2 offset=1291)
processador-2  | 2026-09-25T22:52:45.754046705Z 2026-09-25 22:52:45,753 INFO [processador] leitura já gravada ignorada (partição=2 offset=1292)
processador-2  | 2026-09-25T22:52:45.754226008Z 2026-09-25 22:52:45,753 INFO [processador] leitura já gravada ignorada (partição=2 offset=1293)
processador-2  | 2026-09-25T22:52:45.754241500Z 2026-09-25 22:52:45,753 INFO [processador] leitura já gravada ignorada (partição=2 offset=1294)
processador-2  | 2026-09-25T22:52:45.754244951Z 2026-09-25 22:52:45,754 INFO [processador] leitura já gravada ignorada (partição=2 offset=1295)
